name,id,parent_id,parent_name
Isoimmunization Rh suppression,vkktjuDmvL5,mkk20mG24vF,Rhesus incompatibility
Itching secondary to allergic conjunctivitis,Hv41K4mteaG,kWRJOI1H-i9,Pruritus
Jaundice hemolytic,jNpUKCRcEqB,DZOuNU4SOR8,Jaundice acholuric
Juvenile chronic myelomonocytic leukaemia,5_zuoXh52AE,lzUk4cVt3o8,Juvenile chronic myelomonocytic leukaemia
Kawasaki's disease,PZUsm-HG9u4,Uzmg1ihQgH6,Kawasaki's disease
Keloid,6ww4eSHQx1C,bMgvzxE9Wn-,Keloid scar
Keratitis,tCzpq6qPwsB,qIavfHezHO-,Keratitis
Keratitis bacterial,vkSSvmTON8G,72mRrlmMUK_,Keratitis bacterial
Keratitis herpetic,wzNDI49hCMD,bp3Zip0RLN4,Ophthalmic herpes simplex
Keratitis infectious,q_TF6JENyKH,qIavfHezHO-,Keratitis
Keratitis neurotrophic,bU-2jp2PFl8,qIavfHezHO-,Keratitis
Keratitis ophthalmic,CY2zcNYZfM5,qIavfHezHO-,Keratitis
Keratitis punctate,nPHWJgyAMYC,oh17bpGja87,Punctate keratitis
Keratitis vernal,qjK_h3Ve2TG,NQ8afuHdpcA,Allergic keratitis
Keratoconjunctivitis,rdYNTC3TXR_,qIavfHezHO-,Keratitis
Keratoconjunctivitis secondary to herpes simplex,URHGUEryN6H,bp3Zip0RLN4,Ophthalmic herpes simplex
Keratoconjunctivitis sicca,W6emFtbWiY6,gf95NSNvtNA,Dry eye
Keratoconjunctivitis vernal,oeQQljm2fR_,NQ8afuHdpcA,Allergic keratitis
Keratoconus,Yoe1JzY1gyC,xWx0IrE8V27,Keratoconus
Keratoplasty,5yIKbrG7QI-,XhvWbelGwU_,Keratoplasty
Keratosis actinic,-JdvAJida36,FwYSNxVuJK6,Actinic keratosis
Keratosis palmaris,5u8WbyjfovC,0RmSnZEepkD,Palmoplantar keratoderma
Keratosis pilaris,1plPf-Xmx-F,ReC1qAu6uLG,Keratosis pilaris
Keratosis plantaris,YLA1TZvYYY4,0RmSnZEepkD,Palmoplantar keratoderma
Keratosis seborrheic,LhzgIZ3SUC_,veBmx-CEvS9,Seborrhoeic keratosis
Kidney polycystic,A9UtVD4prL-,-0VVmB17zDB,Congenital cystic kidney disease
Klebsiella infection,2fKSrwspxzD,sKVRVdxy1h5,Klebsiella infection
Krabbe's disease,TPTZCn7U2aC,N-AzOELPdC5,Krabbe's disease
Kraurosis vulvae,bbRM5Fx4L6-,sUDgabWo2VH,Vulval leukoplakia
Labor induction,gGyhULx-y16,y1Uf0l-Pwp5,Labour induction
Labor premature,tTG6JNJ2iQH,1lK2xqOxt88,Premature labour
Labyrinthitis,jdUwcAgLEnH,0Z_Ftz5Md16,Labyrinthitis
Lactation postpartum,I7GDG1o6C1G,r-lCD6RixVH,Lactation disorder
Langerhans' cell histiocytosis,ha-slHpFqjC,CPKjjtNsrS-,Langerhans' cell histiocytosis
Larva migrans cutaneous,GVn9PPMxtK6,hYVQFjacE66,Cutaneous larva migrans
Larva migrans visceral,ZiPKLqHN9NC,-lrk9DKUe6D,Visceral larva migrans
Laryngeal cancer,94ymOAw4I38,JpbAILArlz8,Laryngeal cancer
Laryngeal edema,5GnaygPGGE9,Lxz_gvqNP9_,Laryngeal oedema
Leber's congenital amaurosis,fHVc2owKWyA,2soIA6UmItA,Leber's congenital amaurosis
Leber's hereditary optic atrophy neuropathy,98ojjCA94p9,uuIUktvu8hE,Hereditary optic atrophy
Left ventricular dysfunction,dw73i_5jTsE,geIG6e6ZTfE,Left ventricular dysfunction
Left ventricular dysfunction asymptomatic,q4yS2gC1N3B,geIG6e6ZTfE,Left ventricular dysfunction
Left ventricular hypertrophy,d-9iZFnIutE,GYd3rFG3qrA,Left ventricular hypertrophy
Legionnaires' disease,RPqEQNo3zKF,Vyv43Bp9FM6,Pneumonia legionella
Leiomyoma,ssrAOZrmbAA,36kH79Z2xXE,Leiomyoma
Leiomyoma uterine,8nXT2cfdSt8,TBT3MEO0JWC,Uterine leiomyoma
Leiomyosarcoma,ZvsH7yhU_r-,SW37t6LLlPB,Leiomyosarcoma
Leishmaniasis,o84UdN0tp_-,1iub2uLAK8H,Leishmaniasis
Lennox-Gastaut syndrome,i4-ZTNHcxkF,WuJx72tlYIH,Lennox-Gastaut syndrome
Lentigines facial,ccrYsF1NO7D,jWZxrQV12F8,Multiple lentigines syndrome
Lentigines senile,2YqV4q3w3YH,jWZxrQV12F8,Multiple lentigines syndrome
Lentigines solar,71ArKgcEwo9,jWZxrQV12F8,Multiple lentigines syndrome
Leprosy,0YwK2kHNe25,dMnwomukUwA,Leprosy
Lethargy,30SeuM0hFEB,uEeSXigk_JC,Lethargy
Leukaemia,gkXbhTHmnpE,R2SZY__Zhg_,Leukaemia
Leukapheresis,1O8ZPBmrZa6,JvvAMIFCu5D,Leukapheresis
Leukemia,nPkg16x9GrH,R2SZY__Zhg_,Leukaemia
Leukemia acute,rHZkaTkA70H,R2SZY__Zhg_,Leukaemia
Leukemia acute erythroid,9eu4LMwabi7,PUjl9UR-fZ6,Erythroleukaemia
Leukemia acute lymphoblastic,Svb8IACinm-,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphoblastic B-cell precursor,yKKYHY_vpeA,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphoblastic Philadelphia chromosome negative,ed3ZhRU4MP4,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphoblastic Philadelphia chromosome positive,irScQB2hzk5,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphoblastic with KMT2A rearrangement,KGfQaDLQIL7,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphoblastic with lysine methyltransferase 2A gene (KMT2A) translocation,5dwMeufLBu7,ewV_Y1spsF9,Leukemia acute lymphoblastic
Leukemia acute lymphoblastic with NPM1 mutation,Vndz8sO_Z5A,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute lymphocytic,Y7Bu80WtKVG,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute monocytic,qHQ9V1j4CX-,b7Xvrvr4RIH,Acute monocytic leukaemia
Leukemia acute myeloblastic,dxx9nOFbOZH,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myelogenous,kWd7wydo3j-,Rb-LJ8c5gl5,Myeloid leukaemia
Leukemia acute myeloid,uTj0LWr9cYE,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid FLT3 mutation positive,l1wZhZKDfp-,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid FMS-like tyrosine kinase 3 internal tandem duplication positive,s2hp-vRmUf5,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid IDH1 mutation positive,kUfALmzM4I4,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid IDH2 mutation positive,lC21eUznN0G,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid with KMT2A rearrangement,ux5bOJyOBdB,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute myeloid with NPM1 mutation,5CLp0rD-6p8,dH2ZdOGy4uD,Acute myeloid leukaemia
Leukemia acute non-lymphoblastic,S2QqTcj4zWD,dl1Nx0bg769,Acute lymphocytic leukaemia
Leukemia acute nonlymphocytic,73aAJ24e9Y6,dH2ZdOGy4uD,Acute myeloid leukaemia
